,county_key,prec_key,pre_20_r,pre_20_tot,uss_20_r,uss_20_tot,rrc_20_r,rrc_20_tot,SD,HD
0,113,1131104,221,1394,232,1361,208,1354,16.0,
1,201,2010312,1124,2584,1185,2521,1157,2457,,
2,351,3510003,412,440,395,427,391,420,,
3,181,1810304,1290,1966,1293,1935,1331,1921,30.0,62.0
4,201,2010877,1352,3906,1377,3804,1329,3742,7.0,
5,439,4394370,0,0,0,0,0,0,,
6,309,3090088,166,317,148,303,152,295,22.0,
7,113,1132713,852,1409,889,1389,857,1368,2.0,
8,201,2010807,216,1138,215,1095,199,1070,,
9,217,2170010,954,1249,933,1229,933,1218,,
10,349,3490101,760,1228,752,1194,754,1191,2.0,8.0
11,5,50021,619,828,615,814,634,823,3.0,9.0
12,5,50024,1319,1667,1296,1642,1314,1628,3.0,9.0
13,5,50005,611,1079,604,1057,606,1042,3.0,9.0
14,9,90006,747,828,719,804,725,795,30.0,
15,13,130002,447,780,450,759,430,754,,
16,13,130010,547,867,537,836,526,843,,
17,13,130024,754,1211,761,1196,725,1173,,
18,15,150205,1140,1433,1157,1407,1142,1396,18.0,85.0
19,1,10019,1118,1464,1091,1436,1089,1415,3.0,8.0
20,1,10010,327,369,328,365,324,361,,
21,1,10011,643,845,640,829,636,821,,
22,1,10022,640,745,638,739,631,722,3.0,8.0
23,1,10024,601,644,588,637,592,632,,
24,1,10016,519,625,511,616,510,616,3.0,8.0
25,1,10023,876,975,864,955,864,961,3.0,8.0
26,1,10018,1211,1426,1206,1419,1201,1403,3.0,8.0
27,3,30002,1662,1895,1659,1873,1639,1858,,
28,3,30003,1142,1361,1139,1332,1126,1331,31.0,
29,5,50034,1085,1551,1120,1536,1120,1524,3.0,9.0
30,5,50030,687,750,674,738,673,730,3.0,
31,5,50037,304,363,304,363,303,358,3.0,9.0
32,5,50016,638,1199,644,1170,611,1158,3.0,9.0
33,5,50017,1151,1271,1118,1234,1112,1221,3.0,
34,5,50032,75,80,74,79,72,78,3.0,9.0
35,5,5017B,285,303,267,289,275,293,3.0,9.0
36,5,50022,749,835,732,826,735,815,3.0,
37,5,50002,351,1362,358,1332,371,1326,3.0,9.0
