pre_16_r,pre_16_tot,rrc_16_r,rrc_16_tot,SD,HD
4,12,4,11,9.0,90.0
1406,1675,1355,1592,24.0,54.0
402,463,371,434,22.0,13.0
1,17,1,14,6.0,145.0
1780,2562,1944,2519,9.0,98.0
57,1720,56,1669,13.0,146.0
866,1509,864,1438,8.0,89.0
841,2055,856,1946,7.0,135.0
164,1078,172,1011,13.0,137.0
734,979,694,938,22.0,13.0
706,1042,642,975,2.0,8.0
6,17,6,16,26.0,125.0
1195,1459,1172,1416,3.0,9.0
585,990,575,944,3.0,9.0
320,553,306,516,24.0,80.0
360,560,305,505,24.0,80.0
518,783,488,723,24.0,80.0
2153,3504,2020,3211,5.0,17.0
1090,1275,1027,1225,3.0,8.0
1392,1614,1348,1532,31.0,88.0
944,1155,877,1079,31.0,88.0
994,1315,1050,1302,3.0,9.0
523,1039,524,1009,3.0,9.0
1110,1320,1076,1271,3.0,9.0
696,759,696,753,3.0,9.0
316,389,307,373,3.0,9.0
722,781,707,756,3.0,9.0
703,968,731,953,3.0,9.0
243,382,236,362,3.0,9.0
827,1146,830,1119,3.0,9.0
1335,1934,1243,1819,18.0,32.0
599,742,582,715,18.0,32.0
217,234,204,225,30.0,69.0
98,109,93,105,30.0,69.0
247,269,223,249,30.0,69.0
458,480,420,455,30.0,69.0
105,114,95,107,30.0,69.0
126,134,120,133,30.0,69.0
343,467,313,423,19.0,80.0
881,1235,775,1132,24.0,80.0
454,720,416,670,24.0,80.0
518,939,435,837,24.0,80.0
1668,2109,1545,1981,24.0,80.0
337,873,268,794,24.0,80.0
55,60,49,55,19.0,80.0
36,42,30,38,19.0,80.0
90,131,81,123,24.0,80.0
414,794,376,731,19.0,80.0
196,279,169,251,24.0,80.0
185,341,174,316,24.0,80.0
461,767,384,688,19.0,80.0
153,209,136,178,19.0,80.0
436,526,411,490,18.0,85.0
640,793,607,728,18.0,85.0
873,997,839,955,18.0,85.0
649,835,621,807,18.0,85.0
1230,1540,1156,1436,18.0,85.0
347,403,335,386,18.0,85.0
219,246,205,226,18.0,85.0
365,397,342,371,18.0,85.0
223,246,223,242,18.0,85.0
409,470,379,441,18.0,85.0
336,397,321,372,18.0,85.0
439,507,414,477,18.0,85.0
254,375,241,348,18.0,85.0
729,846,702,795,18.0,85.0
603,776,552,705,18.0,85.0
584,810,569,777,18.0,85.0
1289,1408,1204,1412,24.0,53.0
894,1086,855,1009,24.0,53.0
762,969,748,856,24.0,53.0
471,718,430,656,5.0,17.0
1206,1847,1128,1684,5.0,17.0
437,571,375,500,5.0,17.0
928,1420,850,1289,5.0,17.0
683,1253,631,1129,5.0,17.0
620,865,522,769,5.0,17.0
658,954,537,839,5.0,17.0
579,1276,513,1126,5.0,17.0
357,407,314,371,28.0,69.0
433,636,353,560,27.0,43.0
465,771,402,693,27.0,43.0
711,959,629,866,27.0,43.0
334,538,276,468,27.0,43.0
105,142,96,130,27.0,43.0
146,209,127,199,27.0,43.0
106,156,96,143,27.0,43.0
169,185,155,178,27.0,43.0
134,186,112,167,27.0,43.0
353,1254,318,1164,24.0,55.0
340,453,317,431,24.0,54.0
692,2469,665,2214,26.0,124.0
285,965,270,884,26.0,124.0
671,1235,727,1092,25.0,121.0
1,2,1,2,26.0,123.0
0,0,0,0,26.0,123.0
569,1219,540,1148,19.0,120.0
4,6,4,6,19.0,120.0
229,773,221,715,19.0,120.0
128,480,125,432,26.0,120.0
0,4,0,4,19.0,119.0
192,866,163,778,19.0,119.0
338,1158,283,1049,19.0,119.0
373,1365,354,1239,26.0,125.0
192,683,166,627,26.0,124.0
2,4,2,4,26.0,123.0
102,264,88,223,26.0,123.0
61,142,58,136,19.0,119.0
0,0,0,0,19.0,119.0
54,61,49,55,19.0,118.0
33,33,33,33,19.0,118.0
173,899,158,805,26.0,124.0
86,592,84,546,26.0,124.0
155,388,162,343,26.0,116.0
610,967,643,909,25.0,121.0
53,180,48,168,19.0,120.0
467,1288,445,1190,19.0,119.0
154,235,139,213,21.0,118.0
78,124,78,113,21.0,118.0
385,771,368,706,19.0,118.0
85,623,73,558,26.0,123.0
41,291,36,262,26.0,123.0
523,1602,550,1442,26.0,116.0
17,58,17,55,26.0,116.0
15,17,16,17,19.0,118.0
336,834,352,795,19.0,119.0
137,846,127,743,26.0,123.0
85,420,86,366,26.0,123.0
43,369,50,333,26.0,123.0
45,322,41,286,26.0,123.0
85,818,69,720,26.0,123.0
77,540,71,501,26.0,123.0
148,1208,121,1094,26.0,116.0
153,941,142,859,26.0,116.0
175,1033,162,944,26.0,116.0
89,496,84,437,26.0,116.0
149,795,136,704,26.0,123.0
117,555,106,496,26.0,116.0
14,117,14,104,26.0,123.0
7,8,4,5,25.0,122.0
485,981,490,926,26.0,118.0
876,1655,893,1554,25.0,118.0
126,292,119,269,19.0,116.0
879,1760,848,1625,26.0,118.0
477,905,475,819,26.0,119.0
134,224,115,195,25.0,121.0
309,659,308,585,25.0,118.0
137,625,156,513,26.0,123.0
113,345,118,312,26.0,124.0
554,1590,523,1437,26.0,124.0
154,1013,167,868,26.0,123.0
55,289,56,255,26.0,123.0
23,231,23,210,26.0,123.0
88,678,78,631,26.0,125.0
74,413,63,378,26.0,125.0
139,584,120,514,26.0,116.0
102,588,90,522,26.0,125.0
284,1386,274,1234,26.0,125.0
52,455,49,414,26.0,125.0
84,363,85,330,26.0,120.0
74,372,71,342,26.0,123.0
66,489,66,449,19.0,120.0
134,919,105,840,26.0,119.0
45,288,36,264,19.0,120.0
68,270,79,245,26.0,120.0
10,25,10,24,26.0,120.0
40,254,37,235,26.0,120.0
332,580,315,518,25.0,121.0
1,2,0,1,19.0,124.0
0,1,0,1,25.0,123.0
0,0,0,0,26.0,120.0
468,1044,416,926,19.0,118.0
