pre_20_r,pre_20_tot,uss_20_r,uss_20_tot,rrc_20_r,rrc_20_tot,SD,HD
221,1394,232,1361,208,1354,16.0,107.0
1124,2584,1185,2521,1157,2457,17.0,133.0
412,440,395,427,391,420,3.0,11.0
1290,1966,1293,1935,1331,1921,30.0,62.0
1352,3906,1377,3804,1329,3742,7.0,135.0
0,0,0,0,0,0,9.0,95.0
166,317,148,303,152,295,22.0,13.0
852,1409,889,1389,857,1368,2.0,112.0
216,1138,215,1095,199,1070,13.0,137.0
954,1249,933,1229,933,1218,22.0,13.0
760,1228,752,1194,754,1191,2.0,8.0
619,828,615,814,634,823,3.0,9.0
1319,1667,1296,1642,1314,1628,3.0,9.0
611,1079,604,1057,606,1042,3.0,9.0
747,828,719,804,725,795,30.0,69.0
447,780,450,759,430,754,24.0,80.0
547,867,537,836,526,843,24.0,80.0
754,1211,761,1196,725,1173,24.0,80.0
1140,1433,1157,1407,1142,1396,18.0,85.0
1118,1464,1091,1436,1089,1415,3.0,8.0
327,369,328,365,324,361,3.0,8.0
643,845,640,829,636,821,3.0,8.0
640,745,638,739,631,722,3.0,8.0
601,644,588,637,592,632,3.0,8.0
519,625,511,616,510,616,3.0,8.0
876,975,864,955,864,961,3.0,8.0
1211,1426,1206,1419,1201,1403,3.0,8.0
1662,1895,1659,1873,1639,1858,31.0,88.0
1142,1361,1139,1332,1126,1331,31.0,88.0
1085,1551,1120,1536,1120,1524,3.0,9.0
687,750,674,738,673,730,3.0,9.0
304,363,304,363,303,358,3.0,9.0
638,1199,644,1170,611,1158,3.0,9.0
1151,1271,1118,1234,1112,1221,3.0,9.0
75,80,74,79,72,78,3.0,9.0
285,303,267,289,275,293,3.0,9.0
749,835,732,826,735,815,3.0,9.0
351,1362,358,1332,371,1326,3.0,9.0
162,283,170,282,170,277,3.0,9.0
1047,1281,1040,1263,1051,1254,3.0,9.0
421,813,423,796,418,786,3.0,9.0
1088,1241,1080,1231,1080,1219,3.0,9.0
478,578,479,567,484,572,3.0,9.0
452,818,458,813,462,815,3.0,9.0
275,326,271,322,272,317,3.0,9.0
1287,1528,1277,1508,1280,1504,3.0,9.0
210,1326,225,1289,209,1285,3.0,9.0
949,1081,936,1070,935,1065,3.0,9.0
909,1030,916,1032,918,1022,3.0,9.0
405,478,396,472,394,466,3.0,9.0
847,958,844,949,836,937,3.0,9.0
700,1055,730,1059,733,1048,3.0,9.0
219,419,224,418,219,412,3.0,9.0
892,1335,899,1314,906,1303,3.0,9.0
1637,2301,1586,2221,1551,2173,18.0,32.0
684,872,685,864,684,851,18.0,32.0
859,944,827,923,814,900,30.0,69.0
533,612,525,611,523,596,30.0,69.0
67,75,66,74,68,74,30.0,69.0
228,261,221,255,213,242,30.0,69.0
127,138,129,138,124,134,30.0,69.0
720,793,706,778,716,770,30.0,69.0
257,283,256,280,248,274,30.0,69.0
500,528,483,511,477,502,30.0,69.0
121,132,117,129,118,129,30.0,69.0
141,152,129,142,133,142,30.0,69.0
61,71,60,69,57,67,31.0,86.0
268,283,270,283,268,280,31.0,86.0
145,159,138,151,143,154,31.0,86.0
222,234,219,227,214,223,31.0,86.0
144,152,143,152,142,148,31.0,86.0
113,125,112,124,108,122,19.0,80.0
451,591,458,584,440,579,19.0,80.0
147,172,147,172,144,172,19.0,80.0
1229,1669,1212,1642,1171,1626,24.0,80.0
687,1020,691,993,657,997,24.0,80.0
723,1208,707,1160,678,1167,24.0,80.0
416,518,416,504,400,501,19.0,80.0
2106,2728,2141,2713,2085,2682,24.0,80.0
561,1175,523,1128,461,1119,24.0,80.0
74,79,77,81,75,80,19.0,80.0
31,36,32,37,32,37,19.0,80.0
80,103,74,98,71,101,19.0,80.0
106,173,103,166,97,165,24.0,80.0
626,1102,613,1066,582,1056,19.0,80.0
259,381,261,378,249,367,24.0,80.0
267,452,258,440,244,425,24.0,80.0
670,1013,653,988,625,987,19.0,80.0
234,313,224,300,218,301,19.0,80.0
512,609,525,607,506,598,18.0,85.0
751,938,759,934,752,919,18.0,85.0
974,1135,981,1121,967,1109,18.0,85.0
808,1025,800,1015,800,1008,18.0,85.0
1507,1943,1521,1932,1507,1908,18.0,85.0
391,469,389,462,398,464,18.0,85.0
264,312,264,308,266,308,18.0,85.0
499,584,498,572,499,569,18.0,85.0
310,446,297,431,298,432,18.0,85.0
903,1069,910,1058,894,1050,18.0,85.0
699,915,681,900,671,887,18.0,85.0
756,1013,754,994,744,994,18.0,85.0
1551,1891,1531,1839,1506,1810,24.0,53.0
1109,1395,1102,1364,1086,1337,24.0,53.0
971,1113,946,1079,937,1061,24.0,53.0
804,1647,821,1634,781,1593,5.0,17.0
804,1213,784,1191,787,1176,5.0,17.0
801,1147,789,1138,767,1104,5.0,17.0
697,1729,690,1695,658,1669,5.0,17.0
396,455,389,441,393,441,28.0,69.0
524,732,516,704,494,696,27.0,43.0
837,1287,793,1239,759,1214,27.0,43.0
638,973,606,927,579,915,27.0,43.0
837,1134,812,1100,788,1074,27.0,43.0
453,679,420,635,396,630,27.0,43.0
130,162,125,157,122,155,27.0,43.0
163,230,154,218,148,218,27.0,43.0
188,255,184,246,184,243,27.0,43.0
142,179,134,164,127,161,27.0,43.0
164,182,157,176,150,170,27.0,43.0
104,145,97,139,94,138,27.0,43.0
155,193,144,178,133,172,27.0,43.0
920,2701,914,2648,939,2635,24.0,54.0
767,2186,765,2136,773,2104,24.0,54.0
524,605,519,595,515,583,24.0,54.0
1621,2756,1640,2728,1660,2667,24.0,55.0
1597,3014,1611,2982,1638,2917,24.0,55.0
563,1336,563,1298,573,1271,24.0,55.0
454,1513,462,1488,470,1457,24.0,55.0
984,1837,990,1793,991,1745,24.0,55.0
361,404,366,400,361,396,24.0,54.0
4279,5858,4377,5849,4386,5718,24.0,54.0
1675,2354,1713,2341,1720,2291,24.0,55.0
2668,4007,2697,3942,2690,3868,24.0,55.0
1817,2226,1820,2200,1844,2184,24.0,54.0
432,573,437,575,439,563,24.0,54.0
0,1,0,1,0,1,26.0,123.0
446,1454,477,1394,405,1381,19.0,119.0
1,2,1,2,1,2,26.0,123.0
35,40,35,39,32,37,19.0,118.0
687,1232,738,1210,687,1179,25.0,121.0
144,709,129,660,117,670,26.0,123.0
78,354,80,331,76,327,26.0,123.0
269,1376,295,1328,277,1300,26.0,123.0
84,473,86,451,72,450,26.0,123.0
76,360,71,333,69,332,26.0,123.0
178,952,173,903,136,899,26.0,123.0
145,627,139,583,115,577,26.0,123.0
127,600,135,581,111,572,26.0,116.0
149,669,167,642,144,633,26.0,116.0
928,1991,970,1934,926,1911,25.0,118.0
131,395,138,383,137,374,19.0,116.0
948,2252,940,2129,928,2105,26.0,118.0
508,1144,523,1102,494,1085,26.0,119.0
